Dataset 2,690,0.61071,0.60833,0.61071,0.60833,0.64643,0.61250,0.60833,1.00000,0.75648,0.60833,1.00000,0.75648,0.62326,0.91781,0.74238,[[  0  94   0 146]],[[  0  94   0 146]],[[ 13  81  12 134]] 
Dataset 2,750,0.69643,0.47917,0.52679,0.52500,0.62500,0.54167,0.50350,0.57143,0.53532,0.52500,1.00000,0.68852,0.55195,0.67460,0.60714,[[43 71 54 72]],[[  0 114   0 126]],[[45 69 41 85]] 
Dataset 2,810,0.83036,0.80417,0.51964,0.52083,0.71071,0.67917,0.83051,0.78400,0.80658,0.52083,1.00000,0.68493,0.72222,0.62400,0.66953,[[95 20 27 98]],[[  0 115   0 125]],[[85 30 47 78]] 
Dataset 2,870,0.95357,0.92083,0.93571,0.90417,0.89286,0.84167,0.94215,0.90476,0.92308,0.92562,0.88889,0.90688,0.81884,0.89683,0.85606,[[107   7  12 114]],[[105   9  14 112]],[[ 89  25  13 113]] 
Dataset 2,930,0.98036,0.98333,1.00000,0.97500,0.96250,0.90833,0.97744,0.99237,0.98485,0.97710,0.97710,0.97710,0.89209,0.94656,0.91852,[[106   3   1 130]],[[106   3   3 128]],[[ 94  15   7 124]] 
Dataset 2,990,0.96607,0.96667,0.97857,0.96250,0.96607,0.96667,0.98361,0.95238,0.96774,0.97561,0.95238,0.96386,0.99167,0.94444,0.96748,[[112   2   6 120]],[[111   3   6 120]],[[113   1   7 119]] 
Dataset 2,1050,0.97143,0.97083,0.97143,0.97500,0.97143,0.97083,0.95420,0.99206,0.97276,0.95455,1.00000,0.97674,0.94737,1.00000,0.97297,[[108   6   1 125]],[[108   6   0 126]],[[107   7   0 126]] 
Dataset 2,1110,0.97500,0.97083,0.96786,0.95417,0.98750,0.95000,0.96124,0.98413,0.97255,0.93233,0.98413,0.95753,0.94531,0.96032,0.95276,[[109   5   2 124]],[[105   9   2 124]],[[107   7   5 121]] 
Dataset 2,1170,0.97143,0.96250,0.98214,0.95417,0.97321,0.96250,0.94656,0.98413,0.96498,0.93233,0.98413,0.95753,0.93333,1.00000,0.96552,[[107   7   2 124]],[[105   9   2 124]],[[105   9   0 126]] 
Dataset 2,1230,0.97857,0.95833,0.97679,0.96250,0.97500,0.96667,0.94828,0.96491,0.95652,0.94872,0.97368,0.96104,0.94915,0.98246,0.96552,[[120   6   4 110]],[[120   6   3 111]],[[120   6   2 112]] 
Dataset 2,1290,1.00000,0.95417,0.97500,0.96250,0.98750,0.96667,0.96694,0.94355,0.95510,0.94574,0.98387,0.96443,0.96032,0.97581,0.96800,[[112   4   7 117]],[[109   7   2 122]],[[111   5   3 121]] 
Dataset 2,1350,0.96964,0.98333,1.00000,0.98750,0.95893,0.98333,0.98438,0.98438,0.98438,0.99213,0.98438,0.98824,0.98438,0.98438,0.98438,[[110   2   2 126]],[[111   1   2 126]],[[110   2   2 126]] 
Dataset 2,1410,0.97321,0.97083,0.97321,0.97083,0.97500,0.97917,0.96124,0.98413,0.97255,0.96124,0.98413,0.97255,0.96899,0.99206,0.98039,[[109   5   2 124]],[[109   5   2 124]],[[110   4   1 125]] 
Dataset 2,1470,0.96964,0.96667,0.97500,0.97500,0.98571,0.95833,0.97600,0.96063,0.96825,0.97638,0.97638,0.97638,0.98347,0.93701,0.95968,[[110   3   5 122]],[[110   3   3 124]],[[111   2   8 119]] 
Dataset 2,1530,0.97143,0.96667,0.96250,0.98333,0.98036,0.96667,0.94030,1.00000,0.96923,0.96923,1.00000,0.98437,0.94030,1.00000,0.96923,[[106   8   0 126]],[[110   4   0 126]],[[106   8   0 126]] 
Dataset 2,1590,0.96786,0.98750,0.98214,0.99167,0.97500,0.99167,0.99219,0.98450,0.98833,1.00000,0.98450,0.99219,0.99225,0.99225,0.99225,[[110   1   2 127]],[[111   0   2 127]],[[110   1   1 128]] 
Dataset 2,1650,0.96071,0.98333,0.95714,0.98750,0.95536,0.98750,0.98425,0.98425,0.98425,0.98438,0.99213,0.98824,0.99206,0.98425,0.98814,[[111   2   2 125]],[[111   2   1 126]],[[112   1   2 125]] 
Dataset 2,1710,0.85000,0.80000,0.83214,0.80417,0.82679,0.74583,0.83200,0.79389,0.81250,0.82308,0.81679,0.81992,0.72436,0.86260,0.78746,[[ 88  21  27 104]],[[ 86  23  24 107]],[[ 66  43  18 113]] 
Dataset 2,1770,0.81786,0.73333,0.79464,0.77917,0.77143,0.75833,0.75000,0.75000,0.75000,0.80000,0.78125,0.79051,0.75735,0.80469,0.78030,[[80 32 32 96]],[[ 87  25  28 100]],[[ 79  33  25 103]] 
Dataset 2,1830,0.84464,0.79167,0.80714,0.76667,0.84286,0.82500,0.79562,0.83206,0.81343,0.77778,0.80153,0.78947,0.82482,0.86260,0.84328,[[ 81  28  22 109]],[[ 79  30  26 105]],[[ 85  24  18 113]] 
Dataset 2,1890,0.79286,0.71250,0.55000,0.55000,0.85357,0.67500,0.74419,0.72727,0.73563,0.55000,1.00000,0.70968,0.70769,0.69697,0.70229,[[75 33 36 96]],[[  0 108   0 132]],[[70 38 40 92]] 
